,Team:team1,Team:team2,player stats:Box Out +,player stats:Box Out -,player stats:Forced Turnover +,player stats:Forced Turnover -,player stats:Shooting Foul,shot chart:FT 2 (D),shot chart:IO3 + (D),shot chart:IO3 - (D),shot chart:NIO3 + (D),shot chart:NIO3 - (D),shot chart:RZ + (D),shot chart:RZ - (D),shot chart:Turnover - (D)
#21 LUKA TARLAC,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
#2 BRADEN FREEMAN,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0
#3 JAKE DAVIS,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0
#4 KIERAN ELLIOTT,0,4,8,5,0,1,2,0,0,0,0,0,0,0,0
#8 JACKSON MOSLEY,0,3,5,7,0,0,1,0,0,0,0,0,0,0,0
D-Team 2,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
Jake ,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
Kieran,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
JMo,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
Braden,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
AP,0,25,1,2,0,1,1,4,1,4,2,8,6,2,6
D-Team 1,26,0,0,0,0,0,0,2,2,3,2,5,0,3,10
Austin,9,0,0,0,0,0,0,2,0,1,0,2,0,0,4
Luka,12,0,0,0,0,0,0,0,1,2,2,2,0,2,4
Cayden,26,0,0,0,0,0,0,2,2,3,2,5,0,3,10
Guz,26,0,0,0,0,0,0,2,2,3,2,5,0,3,10
Hamad,26,0,0,0,0,0,0,2,2,3,1,5,0,3,10
#5 GUZMAN VASILIC,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
#14 CAYDEN WARD,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
#10 HAMAD MOUSA,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
#11 AUSTIN GOODE,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0
Teaching ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#15 AARON PRICE JR.,0,2,9,1,0,0,1,0,0,0,0,0,0,0,0
Troy,16,0,1,0,0,0,0,2,1,2,1,2,0,1,8
#13 TROY PLUMTREE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Austin ,10,0,0,0,0,0,0,0,1,1,1,2,0,2,3
Troy ,6,0,0,0,0,0,0,0,1,0,1,2,0,1,1
