,Team:team1,Team:team2,player stats:Box Out +,player stats:Box Out -,player stats:Forced Turnover +,player stats:Forced Turnover -,player stats:Shooting Foul,shot chart:+1 (D),shot chart:FT 2 (D),shot chart:IO3 + (D),shot chart:IO3 - (D),shot chart:NIO3 + (D),shot chart:NIO3 - (D),shot chart:RZ + (D),shot chart:RZ - (D),shot chart:TT + (D),shot chart:Turnover - (D),teaching:Non-Shoot Foul
D-Team 2,0,22,0,1,0,0,0,1,2,0,2,4,6,3,3,1,5,0
Jake ,0,22,0,1,0,0,0,1,2,0,2,4,6,3,3,1,5,0
Braden ,0,17,0,1,0,0,0,0,2,0,1,2,6,0,3,1,5,0
AP,0,22,0,1,0,0,0,1,2,0,2,4,6,3,3,1,5,0
Kieran,0,22,0,1,0,0,0,1,2,0,2,4,6,3,3,1,5,0
Peter,0,18,0,1,0,0,0,1,2,0,2,3,4,3,3,1,4,0
JMO,0,11,0,0,0,0,0,1,0,0,2,4,2,4,0,0,1,0
D-Team 1,20,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,5,1
Ali,20,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,5,1
Cayden,20,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,5,1
Luka,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Troy ,20,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,5,1
Guz,20,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,5,1
Austin ,17,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,5,0
#13 TROY PLUMTREE,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
#5 GUZMAN VASILIC,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21 LUKA TARLAC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#14 CAYDEN WARD,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#15 AARON PRICE JR.,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
#3 JAKE DAVIS,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4 KIERAN ELLIOTT,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
#2 BRADEN FREEMAN,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#9 PETER BANDELJ,0,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
ALI,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#11 AUSTIN GOODE,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#8 JACKSON MOSLEY,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
