,Team:team1,Team:team2,player stats:PT +,shot chart:FT 2,shot chart:IO3 +,shot chart:IO3 -,shot chart:NIO3 +,shot chart:NIO3 -,shot chart:RZ +,shot chart:RZ -,shot chart:Turnover -,offense_lab
Cayden Stat,0,8,4,0,0,1,0,3,2,1,0,8
JMo Stat,8,0,3,0,0,0,0,3,0,0,2,8
Luka Stat,0,7,5,0,0,2,0,0,0,0,0,7
Guz Stat,0,9,2,1,0,4,1,1,0,0,0,9
Braden Stat,4,0,1,1,1,1,0,0,0,0,1,4
Hamad Stat,0,8,2,1,3,0,0,2,0,0,1,8
Kieran Stat,4,0,1,1,0,1,0,1,0,0,0,4
Troy Stat,0,5,3,1,0,1,0,0,1,1,1,5
Jake Stat,8,0,2,0,1,2,2,0,0,1,1,8
AP Stat,3,0,3,0,0,0,0,0,0,2,1,4
Austin Stat,0,11,7,1,0,1,0,0,3,1,1,11
Team 2,0,29,14,4,2,7,1,6,6,3,3,29
Cayden,0,29,14,4,2,7,1,6,6,3,3,29
Hamad,0,26,12,3,2,5,1,4,5,3,3,26
Austin,0,23,11,4,1,7,1,5,6,2,3,23
Guz,0,29,14,4,2,7,1,6,6,3,3,29
Luka,0,14,7,2,1,4,1,4,2,1,0,14
Troy,0,24,12,3,2,5,0,5,5,3,3,24
Team 1,26,0,8,2,2,4,2,4,0,3,5,26
AP,26,0,8,2,2,4,2,4,0,3,5,26
Kieran,26,0,8,2,2,4,2,4,0,3,5,26
Braden,26,0,8,2,2,4,2,4,0,3,5,26
JMo,26,0,8,2,2,4,2,4,0,3,5,26
Jake,26,0,8,2,2,4,2,4,0,3,5,26
Notable,2,2,0,0,0,1,0,0,0,0,0,3
