,Team:team1,Team:team2,player stats:PT +,shot chart:FT 2,shot chart:IO3 +,shot chart:IO3 -,shot chart:NIO3 +,shot chart:NIO3 -,shot chart:RZ +,shot chart:RZ -,shot chart:TT +,shot chart:Turnover -,offense_lab
Cayden Stat,0,11,5,2,0,2,0,2,0,0,1,2,11
Peter Stat,4,0,2,0,0,0,1,0,0,0,0,2,4
Kieran Stat,4,0,1,0,1,0,0,1,0,0,0,1,4
Braden Stat,3,0,2,0,0,0,1,0,2,0,0,0,3
Troy Stat,0,5,4,0,0,0,0,0,0,2,0,2,5
Jake Stat,8,0,2,0,0,1,1,3,1,0,0,1,8
Ali Stat,0,4,1,0,0,0,1,1,1,0,0,0,4
Austin Stat,0,8,3,0,0,2,0,1,2,1,0,1,8
JMo Stat,1,0,0,0,0,0,0,1,0,0,0,0,1
Guz Stat,0,3,0,0,1,0,2,0,0,0,0,0,3
AP Stat,1,0,1,0,0,0,0,0,0,0,0,0,1
Team 2,0,22,10,2,1,4,3,4,3,3,1,5,22
Cayden,0,22,10,2,1,4,3,4,3,3,1,5,22
Guz,0,22,10,2,1,4,3,4,3,3,1,5,22
Ali,0,22,10,2,1,4,3,4,3,3,1,5,22
Luka,0,3,1,0,0,0,0,0,0,1,1,2,3
Troy,0,22,10,2,1,4,3,4,3,3,1,5,22
Austin,0,19,9,2,1,4,3,4,3,2,0,3,19
Team 1,20,0,6,0,1,1,3,5,3,0,0,4,20
AP,20,0,6,0,1,1,3,5,3,0,0,4,20
Kieran,20,0,6,0,1,1,3,5,3,0,0,4,20
Braden,20,0,6,0,1,1,3,5,3,0,0,4,20
Jake,20,0,6,0,1,1,3,5,3,0,0,4,20
Peter,12,0,4,0,0,0,2,2,2,0,0,2,12
JMo,8,0,2,0,1,1,1,3,1,0,0,2,8
Notable,0,1,0,0,0,0,0,0,0,0,0,0,1
