,Team:team1,Team:team2,player stats:PT +,shot chart:+1,shot chart:IO3 +,shot chart:IO3 -,shot chart:NIO3 +,shot chart:NIO3 -,shot chart:RZ +,shot chart:RZ -,shot chart:TT +,shot chart:Turnover -,offense_lab
Jake Stat,0,7,1,0,2,1,0,2,0,0,0,1,7
Austin Stat,0,2,0,0,1,0,0,1,0,0,0,0,2
Ali Stat,4,0,2,0,1,0,0,0,1,1,0,1,4
Troy Stat,2,0,2,0,0,0,0,0,1,0,0,0,2
AP Stat,0,3,3,0,0,0,0,0,0,1,0,0,3
Braden Stat,2,0,1,0,0,1,0,0,1,0,0,0,2
Guz Stat,0,4,3,2,0,0,0,1,1,0,1,0,4
Kieran Stat,0,3,2,0,0,0,0,0,1,1,0,0,3
Team 2,0,11,8,2,3,1,0,2,2,2,1,1,11
Guz,0,11,8,2,3,1,0,2,2,2,1,1,11
Jake,0,11,8,2,3,1,0,2,2,2,1,1,11
Austin,0,11,8,2,3,1,0,2,2,2,1,1,11
AP,0,11,8,2,3,1,0,2,2,2,1,1,11
Kieran,0,11,8,2,3,1,0,2,2,2,1,1,11
Team 1,9,0,5,0,1,1,1,0,4,1,0,2,9
Ali,9,0,5,0,1,1,1,0,4,1,0,2,9
Cayden,9,0,5,0,1,1,1,0,4,1,0,2,9
Troy,9,0,5,0,1,1,1,0,4,1,0,2,9
Braden,9,0,5,0,1,1,1,0,4,1,0,2,9
JMo,9,0,5,0,1,1,1,0,4,1,0,2,9
JMo Stat,4,0,2,0,0,0,0,0,1,0,0,1,4
Cayden Stat,2,0,1,0,0,0,1,0,0,0,0,0,2
Notable,1,0,0,0,0,0,0,0,0,0,0,0,1
